Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-12T14:55:55.710,1,0.005942206012869388,0.3628258985486866,FoVF,-0.48780566568372496,0.7085666572351743,2457491.1201509284
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-12T19:09:35.826,4,-7.294599410350257E-4,0.35199461456885456,FoVP,-0.4799952817800107,0.7120836520516343,2457491.296295099
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-12T20:56:10.002,7,-0.0034748396872719325,0.34740972259971487,FoVF,-0.47668869637983835,0.7135501447550359,2457491.3702956517
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-25T13:17:49.888,7,-0.00639600613720418,-0.5340341406546021,FoVP,0.1506039943362212,0.7184719412369589,2457504.051040776
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-25T15:04:24.008,7,-0.004297615005516056,-0.5389084680464333,FoVF,0.15350936115572406,0.7170256827047164,2457504.1250416706
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-25T19:18:03.957,3,7.591508228285377E-4,-0.5504829060947667,FoVP,0.16036430913827335,0.7135379064159008,2457504.3011863227
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-04-25T21:04:38.197,3,0.0029092713056413024,-0.5553339189506192,FoVF,0.1632188447704601,0.7120539222954,2457504.375188631
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-26T16:07:23.284,1,0.006574733665764367,-3.118795104425183,FoVF,0.10682475654855952,0.7218811268715385,2457596.168649828
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-26T22:07:37.867,2,0.005180252835275456,-3.1363485488714855,FoVF,0.11848620507860806,0.7229014193780243,2457596.4188352157
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T02:21:18.090,1,0.004362678166136526,3.134463758074025,FoVP,0.12674718221109432,0.7234981166164549,2457596.5950069344
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T04:07:52.375,2,0.004060258859464345,3.1292629484774115,FoVF,0.13022930699956975,0.7237185581011203,2457596.6690198025
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T08:21:32.554,1,0.0034392270401076255,3.116877979780593,FoVP,0.13854387784111935,0.724170859952826,2457596.8451910713
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T10:08:06.823,3,0.003220174398940672,3.111672752562402,FoVF,0.14204752721561414,0.7243303340855934,2457596.919203779
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T14:21:46.971,2,0.0027994552690540557,3.0992787745764105,FoVP,0.1504109179466158,0.7246368681123053,2457597.095374736
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T16:08:21.229,3,0.002665340738750663,3.0940704121321847,FoVF,0.1539340462749031,0.7247348503782834,2457597.169387342
