epoch,object,raoff,raoff_err,decoff,decoff_err
2730.151515151515,2,0.02009818815432189,0.0,0.09698706579552303,0.0
2767.0454545454545,2,0.02243291816344017,0.0,0.09703966792482621,0.0
2803.9393939393935,2,0.02475360767947417,0.0,0.09703154192127648,0.0
2840.833333333333,2,0.02705868825360399,0.0,0.09696223765456188,0.0
2877.7272727272725,2,0.02934657858892391,0.0,0.09683134039007807,0.0
2914.621212121212,2,0.03161568560513124,0.0,0.09663847220601822,0.0
2951.515151515151,2,0.033864405575602594,0.0,0.09638329342148359,0.0
2988.4090909090905,2,0.03609112533831338,0.0,0.09606550403224293,0.0
3025.30303030303,2,0.0382942235818578,0.0,0.09568484515049135,0.0
3062.1969696969695,2,0.040472072207609955,0.0,0.09524110044467517,0.0
3099.090909090909,2,0.042623037768818886,0.0,0.09473409757516717,0.0
